date,USD,KZT,BYR,UAH,EUR,RUR
2003-01,31.8222,0.20555,0.01625,5.94141,34.4443,1
2003-02,31.5762,0.20813,0.01599,5.89405,34.0549,1
2003-03,31.3805,0.2066,0.0157,5.85315,33.5865,1
2003-04,31.1,0.20457,0.01533,5.76898,34.1447,1
2003-05,30.709,0.20412,0.01501,5.63882,36.4669,1
2003-06,30.3483,0.20527,0.0147,5.64399,34.7124,1
2003-07,30.2596,0.20622,0.01456,5.64713,34.6291,1
2003-08,30.5036,0.20683,0.01452,5.67055,33.2001,1
2003-09,30.6119,0.20534,0.01448,5.68318,35.0751,1
2003-10,29.8584,0.20182,0.01399,5.54011,34.8657,1
2003-11,29.7387,0.20281,0.01384,5.51687,35.5021,1
2003-12,29.4545,0.20461,0.0136,5.48164,36.824,1
2004-01,28.4937,0.20432,0.01319,5.27896,35.3635,1
2004-02,28.5156,0.2051,0.01323,5.2939,35.5076,1
2004-03,28.4853,0.20523,0.01325,5.28857,34.8005,1
2004-04,28.8834,0.20878,0.01339,5.38678,34.1431,1
2004-05,28.985,0.21111,0.01344,5.43584,35.6052,1
2004-06,29.0274,0.21282,0.01344,5.43025,35.2915,1
2004-07,29.1019,0.21348,0.01346,5.455,35.0532,1
2004-08,29.2447,0.21404,0.01352,5.47428,35.1463,1
2004-09,29.2171,0.2173,0.01345,5.43301,35.9896,1
2004-10,28.7655,0.21788,0.01321,5.34595,36.6472,1
2004-11,28.2367,0.21708,0.01295,5.27976,37.4165,1
2004-12,27.7487,0.21342,0.01275,5.1229,37.8104,1
2005-01,28.0845,0.21568,0.0129,5.27389,36.625,1
2005-02,27.7738,0.21334,0.01284,5.24697,36.6281,1
2005-03,27.8256,0.21068,0.0129,5.31733,36.0564,1
2005-04,27.7726,0.21139,0.0129,5.46974,36.0072,1
2005-05,28.0919,0.21176,0.01306,5.53459,35.1963,1
2005-06,28.6721,0.21209,0.01332,5.68395,34.5241,1
2005-07,28.6341,0.21073,0.01332,5.6852,34.716,1
2005-08,28.545,0.21107,0.01326,5.65729,34.8763,1
2005-09,28.4989,0.21296,0.01323,5.58999,34.3811,1
